Estimate; Total: 0.0
Estimate; Total: 0.0
Percent Females; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.00172195356809
Total; Estimate; All households - With earnings: 0.00168812995123
Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.00167687945801
Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.00166310186174
Males; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.001636811126
Percent; Estimate; Some other race alone - High school graduate or higher: 0.00159647935468
Males; Margin of Error; Some other race alone - High school graduate or higher: 0.00153758953262
Males; Margin of Error; Two or more races - Bachelor's degree or higher: 0.0015349893617
Total; Margin of Error; White alone, not Hispanic or Latino_data_./data/education.csv: 0.00152652739292
Percent; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.00146687972609
Percent Females; Estimate; Asian alone - High school graduate or higher: 0.00142186824287
Females; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher: 0.00140735337933
Males; Margin of Error; Two or more races - High school graduate or higher: 0.00137559083493
Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.00136249459758
Females; Margin of Error; American Indian or Alaska Native alone: 0.00136200290529
Percent Females; Estimate; Population 45 to 64 years - High school graduate or higher: 0.00135370440053
Males; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.0013519276737
Males; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher: 0.0013502851937
Percent; Estimate; Population 25 to 34 years - High school graduate or higher: 0.00134205458484
Males; Margin of Error; Asian alone - Bachelor's degree or higher: 0.00128933798794
Males; Margin of Error; White alone, not Hispanic or Latino: 0.00128748108038
Percent; Margin of Error; Asian alone - Bachelor's degree or higher: 0.00127567490974
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.00127235130405
Males; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.00124613091078
Percent Males; Estimate; Population 18 to 24 years - Less than high school graduate: 0.00122194021204
Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 0.00121724268815
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 0.00119031162588
Males; Margin of Error; Two or more races: 0.0011806724387
Females; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.00117686013516
Percent Males; Estimate; Two or more races - High school graduate or higher: 0.00116563999541
Percent Females; Estimate; Some other race alone - High school graduate or higher: 0.00116118330429
Females; Margin of Error; White alone, not Hispanic or Latino: 0.00115623232692
Males; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.00114518203387
Females; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.0011379910074
Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.00109767903661
Females; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.00106219285882
Males; Margin of Error; Black alone - Bachelor's degree or higher: 0.0010491565179
Total; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.00103718845696
Percent Females; Margin of Error; Two or more races - Bachelor's degree or higher: 0.00102420049161
Females; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.00101252177877
Males; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.00101159643699
Males; Margin of Error; Asian alone - High school graduate or higher: 0.00100901196418
Males; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.00100279373891
Percent Females; Estimate; Population 35 to 44 years - High school graduate or higher: 0.000996707824615
Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.000978357017813
Total; Margin of Error; Population 65 years and over: 0.000958883738305
Females; Margin of Error; Asian alone - High school graduate or higher: 0.000942337492729
Females; Margin of Error; Population 25 years and over - Bachelor's degree: 0.000938259262961
Total; Margin of Error; Some other race alone - High school graduate or higher: 0.000935418129394
Females; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.000893512361584
Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 0.000887839255491
Females; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.000884836114835
Males; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.000875920721755
Males; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.000862784731484
Percent Females; Estimate; Some other race alone - Bachelor's degree or higher: 0.000862579534638
Total; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.000861565992795
Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000844826412404
Percent; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000827987508591
Total; Margin of Error; Population 35 to 44 years: 0.000804740992639
Males; Margin of Error; Black alone: 0.00080039304861
Males; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.000787568645436
Females; Margin of Error; Some other race alone: 0.000787361911729
Females; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.000786019987269
Males; Margin of Error; Some other race alone: 0.000762203120099
Males; Margin of Error; Asian alone: 0.000755566754726
Total; Margin of Error; Population 25 to 34 years: 0.000738324477695
Females; Margin of Error; Two or more races - Bachelor's degree or higher: 0.000720255486894
Females; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000703596405264
Total; Margin of Error; Population 25 years and over - Less than 9th grade: 0.000689221925103
Males; Margin of Error; Population 65 years and over - High school graduate or higher: 0.000688470948554
Percent Males; Estimate; Percent high school graduate or higher: 0.000683929093474
Females; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.000678814465905
Total; Margin of Error; Population 45 to 64 years: 0.000677128319472
Percent Males; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000647144274844
Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.000643637136481
Females; Margin of Error; Two or more races: 0.000634815958896
Total; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.000633721665281
Females; Estimate; American Indian or Alaska Native alone: 0.000619920707495
Females; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.00060978397426
Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.000605942836743
Males; Estimate; Two or more races - Bachelor's degree or higher: 0.000604812760166
Males; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000599664928352
Total; Margin of Error; Population 25 years and over - Bachelor's degree: 0.00059038952132
Total; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.000590234959075
Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate: 0.000587035614874
Females; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.000583874082775
Total; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.00058263438689
Total; Margin of Error; Black alone: 0.000578524659356
Females; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.000554907539301
Females; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.000554005502411
Percent Males; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 0.000553166844314
Males; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.00054371016574
Females; Margin of Error; Two or more races - High school graduate or higher: 0.00054096451974
Percent; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.000520915806706
Females; Margin of Error; Population 35 to 44 years: 0.000520324900846
Females; Margin of Error; Population 25 years and over - Less than 9th grade: 0.000519753054269
Total; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.000517015317088
Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.000512682863963
Males; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000510549600446
Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.000507989922983
Males; Margin of Error; Population 25 to 34 years: 0.000501189607808
Males; Margin of Error; Hispanic or Latino Origin: 0.000500590453045
Males; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.000496990512376
Females; Margin of Error; Hispanic or Latino Origin: 0.000492476474748
Males; Margin of Error; Population 25 years and over - Some college, no degree: 0.00048447509394
Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.000481697072114
Total; Margin of Error; Asian alone: 0.000476980497897
Males; Margin of Error; Population 25 years and over - Bachelor's degree: 0.000475852418365
Total; Margin of Error; Asian alone - High school graduate or higher: 0.000446704460367
Total; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.000445511471749
Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.000445415951014
Females; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.000442888637312
Total; Margin of Error; Black alone - High school graduate or higher: 0.000441717840168
Mean income (dollars); Margin of Error; All households - With cash public assistance income: 0.000441117030413
Total; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.000438608247377
Total; Margin of Error; Two or more races - High school graduate or higher: 0.000438269052974
Males; Estimate; American Indian or Alaska Native alone: 0.000435350132057
Females; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000433686419604
Mean income (dollars); Margin of Error; All households - With Social Security income: 0.00043042641897
Females; Estimate; Two or more races - Bachelor's degree or higher: 0.000424064659512
Males; Margin of Error; Population 35 to 44 years: 0.000411564298335
Total; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.000408774437381
Total; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.000408019836841
Males; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.000404583063467
Females; Margin of Error; Population 65 years and over: 0.00039752152974
Total; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.000395564724107
Females; Margin of Error; Asian alone: 0.000389887611476
Total; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.000388908312556
Total; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.00038776050151
Males; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.000385800302151
Total; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher: 0.000377539759136
Males; Margin of Error; Population 25 years and over: 0.000376735897169
Margin of Error; Total: - Asian alone: 0.000362355105328
Females; Margin of Error; Population 45 to 64 years: 0.000362196537341
Total; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000357588178195
Total; Margin of Error; Some other race alone: 0.000355324393402
Males; Margin of Error; Black alone - High school graduate or higher: 0.000345112703341
Males; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.00034422127897
Females; Margin of Error; Asian alone - Bachelor's degree or higher: 0.000342478151813
Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.0003406205546
Total; Margin of Error; Asian alone - Bachelor's degree or higher: 0.000335154182789
Total; Margin of Error; Hispanic or Latino Origin: 0.000334052659974
Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.000324342683735
Mean income (dollars); Estimate; All households - With Social Security income: 0.000311199842684
Mean income (dollars); Estimate; All households - With cash public assistance income: 0.000307595622606
Females; Margin of Error; Population 65 years and over - High school graduate or higher: 0.000303504390348
Females; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.000302600462225
Females; Margin of Error; Black alone: 0.00029620270572
Females; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.000293019733501
Total; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000285831469831
Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.00028440999683
Males; Margin of Error; Population 25 years and over - Associate's degree: 0.000279144285113
Males; Margin of Error; Population 25 years and over - Less than 9th grade: 0.000273494690822
Total; Margin of Error; Two or more races: 0.000273408666084
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 0.000267782663372
Females; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.000265955678397
Total; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.000261712769739
Males; Estimate; Two or more races: 0.000255826685509
Females; Margin of Error; Population 25 to 34 years: 0.000255534809376
Total; Margin of Error; American Indian or Alaska Native alone: 0.000254714933703
Total; Margin of Error; Population 25 years and over - Associate's degree: 0.000252248020297
Males; Margin of Error; Population 45 to 64 years: 0.00024613795235
Females; Margin of Error; Black alone - High school graduate or higher: 0.000243755734977
Females; Margin of Error; Some other race alone - High school graduate or higher: 0.000241498662726
Total; Margin of Error; Population 25 years and over: 0.000239782774988
Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.000232238317229
Females; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.000225034837672
Percent Males; Estimate; Population 35 to 44 years - High school graduate or higher: 0.000223669768305
Total; Margin of Error; Population 65 years and over - High school graduate or higher: 0.000223003865857
Total; Margin of Error; All households: 0.000222693812066
Males; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.000217825824472
Total; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.00021068519163
Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.000208439082737
Males; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.000207267881254
Females; Margin of Error; Black alone - Bachelor's degree or higher: 0.000207132716734
Total; Margin of Error; Population 25 years and over - Some college, no degree: 0.00020615199952
Males; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.000205725879952
Females; Margin of Error; Population 25 years and over: 0.000203454484127
Total; Margin of Error; Two or more races - Bachelor's degree or higher: 0.000197969622693
Males; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.000195870139996
Females; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.000193347271047
Females; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.000190263432777
Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.000190242462119
Females; Margin of Error; Population 25 years and over - Associate's degree: 0.000184309780274
Total; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.000181641869651
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 0.000178313664356
Females; Estimate; Two or more races: 0.000178204790797
Total; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000178097568868
Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher: 0.000176114701566
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.000166635425997
Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI): 0.000165597421531
Females; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.000162963781184
Total; Estimate; Two or more races - Bachelor's degree or higher: 0.000162446526607
Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.000160155117599
Total; Margin of Error; Black alone - Bachelor's degree or higher: 0.000157491372565
Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino: 0.000149716104396
Percent; Estimate; Black alone - High school graduate or higher: 0.000148852764266
Females; Estimate; Two or more races - High school graduate or higher: 0.000146808352851
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.000145793776024
Females; Margin of Error; Population 18 to 24 years: 0.000142550868694
Females; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000142036596584
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.00014067487819
Males; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000140424778327
Total; Estimate; Some other race alone - Bachelor's degree or higher: 0.000138388103381
Females; Margin of Error; Population 25 years and over - Some college, no degree: 0.000137750375266
Total; Estimate; American Indian or Alaska Native alone: 0.000137463657967
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.000136512111698
Margin of Error; Total: - Black or African American alone: 0.000135801560656
Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.000130072825299
Males; Margin of Error; Population 65 years and over: 0.0001290037434
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.000128587709863
Margin of Error; Total: - White alone: 0.000124486540671
Males; Estimate; Population 25 years and over - Less than 9th grade: 0.000123682313443
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.00012102019466
Percent Males; Margin of Error; Two or more races - Bachelor's degree or higher: 0.000120303109005
Males; Margin of Error; Population 18 to 24 years: 0.000118647335784
Margin of Error; Total: - Two or more races:: 0.000117342687433
Total; Estimate; Two or more races: 0.000111884477416
Females; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.000106929918242
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 9.96908357137e-05
Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 9.61661932149e-05
Total; Estimate; Population 18 to 24 years - Less than high school graduate: 9.56401125347e-05
Total; Estimate; Population 65 years and over - Bachelor's degree or higher: 9.47541348772e-05
Margin of Error; Total: - Two or more races: - Two races including Some other race: 9.15626312023e-05
Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 8.87819377393e-05
Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 8.72729522382e-05
Males; Margin of Error; Population 45 to 64 years - High school graduate or higher: 8.5435131786e-05
Males; Estimate; Two or more races - High school graduate or higher: 8.47210862003e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 8.34473355949e-05
Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 8.1402766331e-05
Margin of Error; Total: - Some other race alone: 8.07813324789e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 8.06542332033e-05
Mean income (dollars); Estimate; All households - With retirement income: 8.06409689327e-05
Margin of Error; Total: - American Indian and Alaska Native alone: 7.91968855096e-05
Males; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 7.87715058827e-05
Females; Estimate; Population 25 years and over - Bachelor's degree: 7.84382572355e-05
Females; Estimate; Population 25 years and over - Less than 9th grade: 7.80700729041e-05
Males; Margin of Error; American Indian or Alaska Native alone: 7.61616111071e-05
Males; Estimate; Some other race alone - Bachelor's degree or higher: 7.53317027538e-05
Total; Estimate; Two or more races - High school graduate or higher: 7.52951259215e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 7.52239307515e-05
Mean income (dollars); Estimate; White alone, not Hispanic or Latino: 7.33089284479e-05
Males; Estimate; Population 65 years and over: 7.19690103568e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 7.12657496053e-05
Total; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 7.1242142373e-05
Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 7.01613328163e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 6.89512078936e-05
Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income: 6.79141084081e-05
Females; Estimate; Some other race alone - High school graduate or higher: 6.66381421979e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 6.63310659489e-05
Percent Females; Estimate; Hispanic or Latino Origin - High school graduate or higher: 6.57373923809e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 6.57145186026e-05
Females; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 6.41413598215e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 6.40579403418e-05
Males; Estimate; Population 25 years and over - Bachelor's degree: 6.37808623477e-05
Males; Estimate; Population 65 years and over - High school graduate or higher: 6.36099240106e-05
Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 6.28284174069e-05
Females; Estimate; Population 65 years and over - High school graduate or higher: 6.12281097291e-05
Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 6.09045638332e-05
Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races: 5.93224888768e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 5.92978199656e-05
Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 5.84447840837e-05
Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 5.82383810938e-05
Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 5.81666889536e-05
Mean income (dollars); Margin of Error; All households - With retirement income: 5.81086927855e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 5.80466791838e-05
Females; Estimate; Some other race alone - Bachelor's degree or higher: 5.78624764945e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 5.58254869724e-05
Females; Estimate; Population 65 years and over: 5.52600605682e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 5.48447166486e-05
Males; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 5.45867188337e-05
Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 5.23946329574e-05
Females; Estimate; Population 18 to 24 years: 5.00286223557e-05
Males; Estimate; Native Hawaiian and Other Pacific Islander alone: 4.88295323505e-05
Mean income (dollars); Margin of Error; All households: 4.74227587938e-05
Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 4.69411872444e-05
Males; Estimate; Asian alone - Bachelor's degree or higher: 4.60144180794e-05
Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 4.53501477112e-05
Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 4.51420473743e-05
Females; Estimate; Black alone: 4.4673417402e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 4.44405661295e-05
Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income: 4.39568788993e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 4.39377130171e-05
Males; Estimate; Population 25 to 34 years: 4.36540178231e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 4.27904118905e-05
Total; Estimate; Some other race alone - High school graduate or higher: 4.25256065294e-05
Males; Estimate; Population 18 to 24 years - Less than high school graduate: 4.23677186559e-05
Males; Estimate; Black alone: 4.21327766698e-05
Females; Estimate; Asian alone - Bachelor's degree or higher: 4.21191223556e-05
Total; Estimate; Population 25 years and over - Bachelor's degree: 4.20518991511e-05
Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 4.12578073491e-05
Females; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 4.07943044602e-05
Males; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 3.98953701301e-05
Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone: 3.9596597322e-05
Females; Estimate; Population 45 to 64 years: 3.84634570529e-05
Females; Estimate; Some other race alone: 3.80121329982e-05
Females; Estimate; Black alone - High school graduate or higher: 3.79977630731e-05
Males; Estimate; Population 45 to 64 years: 3.75439653291e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 3.72325382147e-05
Males; Estimate; Population 25 years and over - Graduate or professional degree: 3.62631577914e-05
Total; Margin of Error; Population 18 to 24 years: 3.47524485419e-05
Females; Estimate; Asian alone: 3.44905906019e-05
Total; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 3.42888151121e-05
Males; Estimate; Some other race alone - High school graduate or higher: 3.39972396991e-05
Males; Estimate; Black alone - High school graduate or higher: 3.35621475685e-05
Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI): 3.3177192196e-05
Males; Estimate; Some other race alone: 3.29248206939e-05
Males; Estimate; Population 35 to 44 years: 3.28681836693e-05
Mean income (dollars); Margin of Error; All households - With earnings: 3.24803516016e-05
Total; Estimate; Population 25 to 34 years - High school graduate or higher: 3.23251755951e-05
Mean income (dollars); Estimate; All households: 3.21544457212e-05
Total; Estimate; Population 35 to 44 years - High school graduate or higher: 3.17793281695e-05
Females; Estimate; Population 25 to 34 years - High school graduate or higher: 3.0877119629e-05
Females; Estimate; Population 25 years and over - Graduate or professional degree: 3.08101413625e-05
Total; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 3.06579974353e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 3.00462735098e-05
Males; Estimate; Asian alone: 2.99881202732e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 2.97986561498e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 2.97566474685e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 2.94357015238e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 2.94335796187e-05
Males; Estimate; Population 25 years and over - Associate's degree: 2.89079456218e-05
Females; Estimate; Population 25 to 34 years: 2.86731305743e-05
